index,address,city,region,postalcode,lat,lng
35,230 Calle Federico Costa,San Juan,PR,918,18.42491,-66.07171
36,60 Ave Rio Hondo,Bayamon,PR,961,18.42205,-66.16304
37,Ave Fragoso Villa Fontana,Carolina,PR,983,18.39141,-65.97489
38,50 Holyoke St,Holyoke,MA,1040,42.16931,-72.64198
39,33 Orchard Hill Park Dr,Leominster,MA,1453,42.52481,-71.7124
40,70 Worcester Providence Tpke,Millbury,MA,1527,42.19513,-71.77617
41,7 Neponset St,Worcester,MA,1606,42.29766,-71.80126
42,1 Worcester Rd,Framingham,MA,1701,42.3007,-71.39618
43,769 Donald Lynch Blvd,Marlborough,MA,1752,42.35141,-71.61902
44,208 Fortune Blvd,Milford,MA,1757,42.16256,-71.50184
45,84 Middlesex Tpke,Burlington,MA,1803,42.47698,-71.21574
46,1201 Broadway,Saugus,MA,1906,42.46081,-71.02633
47,230 Independence Way,Danvers,MA,1923,42.55285,-70.93768
48,700 Providence Hwy,Dedham,MA,2026,42.24028,-71.17613
49,280 School St,Mansfield,MA,2048,42.01288,-71.2264
50,14 Allstate Rd,Dorchester,MA,2125,42.32793,-71.06098
51,1 Harborside Dr,Boston,MA,2128,42.366955,-71.027646
52,1 Harborside Dr,Boston,MA,2128,42.366955,-71.027646
53,100 Cambridgeside Pl,Cambridge,MA,2141,42.36743,-71.07724
54,162 Santilli Hwy,Everett,MA,2149,42.40341,-71.06817
55,550 Grossman Dr,Braintree,MA,2184,42.21697,-70.99937
56,200 Westgate Dr,Brockton,MA,2301,42.0945,-71.05293
57,228 Colony Place Rd,Plymouth,MA,2360,41.95184,-70.71687
58,550 Arsenal St,Watertown,MA,2472,42.3635,-71.15898
59,793 Iyannough Rd,Hyannis,MA,2601,41.66823,-70.29916
60,27 Faunce Corner Rd,North Dartmouth,MA,2747,41.64314,-70.98644
61,1337 S Washington St,North Attleboro,MA,2760,41.93542,-71.35265
62,41 Commerce Way,Seekonk,MA,2771,41.79345,-71.32187
63,24 Universal Blvd,Warwick,RI,2886,41.70134,-71.49602
64,2000 Post Rd,Warwick,RI,2886,41.72716923,-71.43861473
65,2000 Post Rd,Warwick,RI,2886,41.72716923,-71.43861473
66,220 Daniel Webster Hwy,Nashua,NH,3060,42.71329,-71.44138
67,290 S Broadway,Salem,NH,3079,42.75865,-71.21384
68,1500 S Willow St,Manchester,NH,3103,42.95693,-71.43094
69,78 Damante Dr,Concord,NH,3301,43.21849,-71.48579
70,274 Plainfield Rd,West Lebanon,NH,3784,43.62601,-72.32546
71,45 Gosling Rd,Newington,NH,3801,43.09463,-70.79889
72,1001 Westbrook St,Portland,ME,4102,43.65066245,-70.30973263
73,364 Maine Mall Rd,South Portland,ME,4106,43.63429,-70.33656
74,14 Crossing Way,Augusta,ME,4330,44.30895,-69.80696
75,45 Bangor Mall Blvd,Bangor,ME,4401,44.8368,-68.74571
76,1200 Airport Dr,S Burlington,VT,5403,44.46836069,-73.15648846
77,26 Cypress St,Williston,VT,5495,44.44466,-73.10967
78,120 Slater St,Manchester,CT,6042,41.80726,-72.5353
79,95 Elm St,Enfield,CT,6082,41.99996,-72.58431
80,44A Albany Tpke,West Simsbury,CT,6092,41.81936,-72.86954
81,1501 New Britain Ave,West Hartford,CT,6110,41.72321,-72.75882
82,3377 Berlin Tpke,Newington,CT,6111,41.65577,-72.72641
83,913 Hartford Tpke,Waterford,CT,6385,41.38155,-72.15209
84,470 Lewis Ave,Meriden,CT,6451,41.55098,-72.80943
85,I95 Northbound Past Exit 40,Milford,CT,6460,41.23400048,-73.0313715
86,398 Universal Dr N,North Haven,CT,6473,41.35479,-72.8739
87,53 Boston Post Rd,Orange,CT,6477,41.27969,-72.98848
88,100 Hawley Ln,Trumbull,CT,6611,41.23267,-73.15244
89,2 International Dr,Danbury,CT,6810,41.41726,-73.4181
90,330 Connecticut Ave,Norwalk,CT,6854,41.10354,-73.43846
91,1339 N Broad St,Bloomfield,NJ,7003,40.69609925,-74.21598047
92,2391 US Highway 22 W,Union,NJ,7083,40.69128,-74.2962
93,2255 Springfield Ave,Vauxhall,NJ,7088,40.71636,-74.28626
94,925 Patterson Plank Rd,Secaucus,NJ,7094,40.78131,-74.04517
95,Newark Liberty Intl Airport,Newark,NJ,7114,40.69276047,-74.18506622
96,10 Toler Pl,Newark,NJ,7114,40.710061,-74.190542
